,State,Year,Quarter,Name,Type,Count,Amount
121,andhra-pradesh,2020,3,Merchant payments,TOTAL,54055557,40739580213.86052
122,andhra-pradesh,2020,3,Recharge & bill payments,TOTAL,43500067,19475104674.827175
123,andhra-pradesh,2020,3,Financial Services,TOTAL,243088,256074924.7187529
124,andhra-pradesh,2020,3,Others,TOTAL,312329,151582519.18136686
125,andhra-pradesh,2020,4,Peer-to-peer payments,TOTAL,152003791,566639138543.7708
126,andhra-pradesh,2020,4,Merchant payments,TOTAL,86581460,66654048149.95168
127,andhra-pradesh,2020,4,Recharge & bill payments,TOTAL,46810304,20936337211.557747
128,andhra-pradesh,2020,4,Financial Services,TOTAL,265470,305168772.45601684
129,andhra-pradesh,2020,4,Others,TOTAL,457527,306853355.59473807
130,andhra-pradesh,2021,1,Peer-to-peer payments,TOTAL,149313738,580542193013.0018
131,andhra-pradesh,2021,1,Merchant payments,TOTAL,97920281,70813192713.43477
132,andhra-pradesh,2021,1,Recharge & bill payments,TOTAL,41940689,20546424964.14482
133,andhra-pradesh,2021,1,Financial Services,TOTAL,225355,270313028.48452014
134,andhra-pradesh,2021,1,Others,TOTAL,347907,272546457.5502677
135,andhra-pradesh,2021,2,Peer-to-peer payments,TOTAL,189614879,737004484057.439
136,andhra-pradesh,2021,2,Merchant payments,TOTAL,112875274,88512429436.91248
137,andhra-pradesh,2021,2,Recharge & bill payments,TOTAL,49626902,24646800345.106976
138,andhra-pradesh,2021,2,Financial Services,TOTAL,243237,265483044.40124667
139,andhra-pradesh,2021,2,Others,TOTAL,406842,308302224.3856007
140,arunachal-pradesh,2018,1,Recharge & bill payments,TOTAL,28729,5184132.514934338
141,arunachal-pradesh,2018,1,Peer-to-peer payments,TOTAL,13320,82889682.72418305
142,arunachal-pradesh,2018,1,Merchant payments,TOTAL,1042,2420374.1905855755
143,arunachal-pradesh,2018,1,Financial Services,TOTAL,416,58893.76201533088
144,arunachal-pradesh,2018,1,Others,TOTAL,1990,1834252.8176908877
145,arunachal-pradesh,2018,2,Recharge & bill payments,TOTAL,50700,10468878.537107183
146,arunachal-pradesh,2018,2,Peer-to-peer payments,TOTAL,26477,181576281.19464755
147,arunachal-pradesh,2018,2,Merchant payments,TOTAL,2378,4718953.439561011
148,arunachal-pradesh,2018,2,Financial Services,TOTAL,559,363761.80159549194
149,arunachal-pradesh,2018,2,Others,TOTAL,2043,1842317.3691352482
150,arunachal-pradesh,2018,3,Recharge & bill payments,TOTAL,74122,15997565.906016497
151,arunachal-pradesh,2018,3,Peer-to-peer payments,TOTAL,49740,308106303.45342577
152,arunachal-pradesh,2018,3,Merchant payments,TOTAL,4738,5505694.567913429
153,arunachal-pradesh,2018,3,Financial Services,TOTAL,507,72133.845254878
154,arunachal-pradesh,2018,3,Others,TOTAL,2039,2044708.9687807972
155,arunachal-pradesh,2018,4,Recharge & bill payments,TOTAL,97751,20662691.882313278
156,arunachal-pradesh,2018,4,Peer-to-peer payments,TOTAL,68169,468831493.2328036
157,arunachal-pradesh,2018,4,Merchant payments,TOTAL,7726,11998974.1040326
